#
# Run File created 12/08/2015 5:03:01 PM
#

#
# 
#

# Ch1_Incident WP                     Moving          14.671(x - zero)
# Ch2_Phase WP                        Moving          17.273(x - zero)
# Ch3_OWC WP                          Moving          22.575(x - zero)
# Ch4_OWC Pressure                    Moving          41.623(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Calibration" F=POINT 
0.000000 -0.201395 -0.185819 -0.129875 -0.086480 
1.000000 14.670759 17.272866 22.574672 41.623146 

TITLE="Data"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Data" F=POINT 
1.235000 -0.187116 -0.189372 -0.125235 -0.091716 
1.240000 -0.186149 -0.190983 -0.126524 -0.083981 
1.245000 -0.186149 -0.190016 -0.126846 -0.097195 
1.250000 -0.185826 -0.187116 -0.122979 -0.080436 
1.255000 -0.185504 -0.190016 -0.126524 -0.089460 
1.260000 -0.189049 -0.191628 -0.127169 -0.088815 
1.265000 -0.187116 -0.189694 -0.127169 -0.084948 
1.270000 -0.185182 -0.186793 -0.124268 -0.084626 
1.275000 -0.189049 -0.189049 -0.125879 -0.090749 
1.280000 -0.188727 -0.192272 -0.125557 -0.096228 
1.285000 -0.189372 -0.190983 -0.127169 -0.084948 
1.290000 -0.185504 -0.187760 -0.126524 -0.098484 
1.295000 -0.187760 -0.191305 -0.128135 -0.071412 
1.300000 -0.189694 -0.191950 -0.128135 -0.079147 
1.305000 -0.187438 -0.192272 -0.126524 -0.095584 
1.310000 -0.183893 -0.187438 -0.122334 -0.100096 
1.315000 -0.188727 -0.189049 -0.126846 -0.081403 
1.320000 -0.188405 -0.189694 -0.126202 -0.073668 
1.325000 -0.186793 -0.192272 -0.125879 -0.097840 
1.330000 -0.184215 -0.187438 -0.122012 -0.083981 
1.335000 -0.188082 -0.189372 -0.126202 -0.085915 
1.340000 -0.184859 -0.189694 -0.128135 -0.084948 
1.345000 -0.185182 -0.189049 -0.127491 -0.086882 
1.350000 -0.185182 -0.184859 -0.124268 -0.083659 
1.355000 -0.186793 -0.188082 -0.129102 -0.081403 
1.360000 -0.187760 -0.188727 -0.128458 -0.071412 
1.365000 -0.188082 -0.190983 -0.129425 -0.085270 
